Token Id,ImageUrl,Name,Background,Chain Accessory,Lapel Pin,Anarchist,Head,Rank Insignia,Shirt,Suit,Tie,Vest,Pocket Square,Space Helmet Lining,Space Helmet Symbols,Space Helmet Reflection,Tie Clip,Gas Mask Breather,Gas Mask Eyepiece,Gas Mask Head Piece,Gas Mask Secondary Color,Hat Card,Hat Feathers,Background,Chain Accessory,Lapel Pin,Anarchist,Head,Rank Insignia,Shirt,Suit,Tie,Vest,Pocket Square,Space Helmet Lining,Space Helmet Symbols,Space Helmet Reflection,Tie Clip,Gas Mask Breather,Gas Mask Eyepiece,Gas Mask Head Piece,Gas Mask Secondary Color,Hat Card,Hat Feathers,Score,Top,Rank
1544,https://d1mx8bduarpf8s.cloudfront.net/QmXyEEjusXZ3cN428PUNjmpW1VJfS6HUKvFLxAYonKE8Ue,Anarchist #1544,Yellow Smoke,Extinction Silver,Anchor Protocol Gold Pin,Invisible,Charcoal Bowler Hat,None,Grey,Blue Gradient Peaked Collar,Purple Bowtie,Navy Blue Doublebreasted,Black,None,None,None,None,None,None,None,None,Ace of Spades,Orange Feather,11.84%,24.44%,1.48%,21.16%,0.84%,27.68%,15.92%,1.88%,9.16%,5.64%,12.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.44%,0.60%,709.78,0.44%,11
1737,https://d1mx8bduarpf8s.cloudfront.net/QmPx7ZbPQHQpWcdAoZwWzAH3QkvL3v9AefDjBqq76f9aGW,Anarchist #1737,Saturn,Extinction Silver,Juno Gold Pin,None,Navy Blue Trillby Hat,Sergeant,Navy Blue,Techno Color Wide Collar,Navy Blue Necktie,Grey Doublebreasted,Purple,None,None,None,None,None,None,None,None,Ace of Spades,None,1.56%,24.44%,1.56%,2.24%,0.60%,15.28%,16.72%,1.32%,7.92%,6.88%,12.32%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.44%,96.32%,707.89,0.48%,12
370,https://d1mx8bduarpf8s.cloudfront.net/QmS8ApphNMQ3apQPeWW7iaxt4xVV1iVSSpmi5PzugJab8e,Anarchist #370,Saturn,Extinction Silver,Juno Silver Pin,Invisible,Charcoal Bowler Hat,Corporal,Navy Blue,Blue Gradient Peaked Collar,Navy Blue Necktie,Navy Blue Doublebreasted,None,None,None,None,Silver,None,None,None,None,Ace of Clubs,3 Brown Feathers,1.56%,24.44%,2.20%,21.16%,0.84%,19.56%,16.72%,1.88%,7.92%,5.64%,37.80%,61.76%,61.76%,61.76%,12.32%,61.64%,61.64%,70.64%,61.64%,0.36%,1.48%,699.31,0.52%,13
812,https://d1mx8bduarpf8s.cloudfront.net/Qmez8oKLtpQnyNbM2J6mNH5bQCnSdNuySswLZ7dbfQ6GtV,Anarchist #812,Wanted,Extinction Gold,Stargaze Gold Pin,Invisible,Grey Bowler Hat,Private,Charcoal,Bright Orange Narrow Collar,Navy Blue Necktie,Charcoal Doublebreasted,White,None,None,None,Gold,None,None,None,None,Ace of Clubs,3 Brown Feathers,7.08%,4.72%,1.36%,21.16%,0.96%,24.08%,17.64%,1.64%,7.92%,5.56%,12.16%,61.76%,61.76%,61.76%,9.24%,61.64%,61.64%,70.64%,61.64%,0.36%,1.48%,694.67,0.56%,14
1401,https://d1mx8bduarpf8s.cloudfront.net/QmYvnkoXU4Bjyw8HRp9oUJqNfApeMc2wS6sWxaan7GEFPM,Anarchist #1401,Spotlight,Extinction Silver,Skull Astronaut Gold Pin,None,Navy Blue Trillby Hat,Corporal,Navy Blue,Blue Green Gradient Wide Collar,None,None,None,None,None,None,None,None,None,None,None,Ace of Spades,3 Striped Feathers,23.68%,24.44%,1.84%,2.24%,0.60%,19.56%,16.72%,2.36%,20.12%,30.24%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.44%,1.00%,678.05,0.60%,15
311,https://d1mx8bduarpf8s.cloudfront.net/QmTsvEG6zu1XATpVnBNtSCchYrNcq2D1qa8Rbt4mupAWJb,Anarchist #311,Spotlight,Extinction Silver,Stargaze Silver Pin,Invisible,Charcoal Bowler Hat,Private,White,Black Wide Collar,Purple Bowtie,White Singlebreasted,None,None,None,None,None,None,None,None,None,Ace of Spades,Orange Feather,23.68%,24.44%,2.84%,21.16%,0.84%,24.08%,16.68%,2.92%,9.16%,5.32%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.44%,0.60%,650.41,0.64%,16
2202,https://d1mx8bduarpf8s.cloudfront.net/QmVMhEen7XJikW5kK9d2vGzNSWjK7gHb9zBChcdFsrd977,Anarchist #2202,Bulletholes,Anarchy Silver,Terra Gold Pin,Invisible,Black Bowler Hat,Corporal,Black,Gold Paisley Peaked Collar,None,None,None,None,None,None,None,None,None,None,None,Ace of Clubs,3 Brown Feathers,8.24%,25.68%,3.16%,21.16%,1.00%,19.56%,15.12%,0.92%,20.12%,30.24%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.36%,1.48%,641.51,0.68%,17
713,https://d1mx8bduarpf8s.cloudfront.net/QmTm4YQeiBNAKgwyZjsKXCPX1hMwiwMDj73x7De24KhQDY,Anarchist #713,Jupiter,Extinction Silver,Cosmos Gold Pin,None,Grey Trillby Hat,Corporal,Navy Blue,Burgundy Narrow Collar,Cosmos Bowtie,Black Doublebreasted,White,None,None,None,None,None,None,None,None,None,3 Striped Feathers,3.56%,24.44%,1.72%,2.24%,0.40%,19.56%,16.72%,3.72%,1.72%,5.48%,12.16%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,1.00%,621.00,0.72%,18
1577,https://d1mx8bduarpf8s.cloudfront.net/QmRJ2ik3q2gR8TGnwREXibDEhqUNYHsk85cmD2G7yDa9A6,Anarchist #1577,Red Smoke,None,Juno Gold Pin,None,Navy Blue Trillby Hat,None,White,Black Grey Gradient Narrow Collar,Navy Blue Necktie,Burgundy Doublebreasted,Navy Blue,None,None,None,None,None,None,None,None,Ace of Hearts,Yellow Fanned Feather,11.52%,39.60%,1.56%,2.24%,0.60%,27.68%,16.68%,3.60%,7.92%,6.04%,13.08%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.28%,0.60%,618.04,0.76%,19
1096,https://d1mx8bduarpf8s.cloudfront.net/QmNTVcXDmXEXNcXKSep7o4P6tshToYNzATZJiBFD9gmj75,Anarchist #1096,Venus,Extinction Silver,Akash Gold Pin,None,Burgundy Trillby Hat,Specialist,Black,Navy Blue Narrow Collar,Cosmos Bowtie,Grey Doublebreasted,Purple,None,None,None,None,None,None,None,None,None,Orange Feather,3.72%,24.44%,1.52%,2.24%,0.60%,7.20%,15.12%,3.60%,1.72%,6.88%,12.32%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,0.60%,617.26,0.80%,20
2095,https://d1mx8bduarpf8s.cloudfront.net/QmRWpW51LgtoWfqtfuLCjgaFiNaC1c1m3cxbQhSQN4VMLN,Anarchist #2095,Red Smoke,None,Random Earth Gold Pin,None,Burgundy Trillby Hat,Private,Navy Blue,Blue Plaid Wide Collar,None,None,None,None,None,None,None,None,None,None,None,None,Orange Feather,11.52%,39.60%,1.68%,2.24%,0.60%,24.08%,16.72%,0.84%,20.12%,30.24%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,0.60%,602.26,0.84%,21
277,https://d1mx8bduarpf8s.cloudfront.net/QmYGFb2NTXiera1SqJyePXtestTwbhoFqMwCW7ov2rQf8P,Anarchist #277,White Smoke,Anarchy Silver,LGBT Silver Pin,None,Charcoal Trillby Hat,Private First Class,Navy Blue,Charcoal Narrow Collar,Purple Bowtie,White Singlebreasted,None,None,None,None,None,None,None,None,None,Ace of Diamonds,3 Striped Feathers,11.00%,25.68%,2.64%,2.24%,0.48%,4.24%,16.72%,2.84%,9.16%,5.32%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.16%,1.00%,599.60,0.88%,22
88,https://d1mx8bduarpf8s.cloudfront.net/QmfCKzHv3C2BcMoeNuApu2J2eUU8YahyK6jukJ5TkhNuFC,Anarchist #88,White Smoke,Anarchy Silver,Cosmos Gold Pin,None,Charcoal Trillby Hat,None,Black,Burgundy Peaked Collar,Hong Kong Protest Necktie,Burgundy Singlebreasted,Navy Blue,None,None,None,None,None,None,None,None,Ace of Diamonds,3 Striped Feathers,11.00%,25.68%,1.72%,2.24%,0.48%,27.68%,15.12%,3.48%,8.12%,6.24%,13.08%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.16%,1.00%,597.67,0.92%,23
1177,https://d1mx8bduarpf8s.cloudfront.net/QmZtx3ZYj42hZH9QjhkNz5PyQXPVXHuHxuvx1jK3YvxLnu,Anarchist #1177,Moon,None,Chihuahua Gold Pin,Invisible,Charcoal Bowler Hat,None,Charcoal,Blue Plaid Wide Collar,Black Necktie,None,Navy Blue,None,None,None,None,None,None,None,None,Ace of Spades,None,6.20%,39.60%,1.56%,21.16%,0.84%,27.68%,17.64%,0.84%,9.40%,30.24%,13.08%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.44%,96.32%,597.18,0.96%,24
2399,https://d1mx8bduarpf8s.cloudfront.net/QmUv79ypWRB5oJsxyvVNqTKoEfWNxMovHzJdQFafvEfxWh,Anarchist #2399,Earth,Extinction Silver,Luart Silver Pin,None,Grey Trillby Hat,Private,White,Black Grey Gradient Narrow Collar,Red Necktie,None,Red,None,None,None,None,None,None,None,None,Ace of Diamonds,3 Brown Feathers,6.08%,24.44%,2.08%,2.24%,0.40%,24.08%,16.68%,3.60%,7.92%,30.24%,11.84%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.16%,1.48%,591.75,1.00%,25
314,https://d1mx8bduarpf8s.cloudfront.net/QmPtxQPXttMuNNcaWT61N8P57bqqYD6pEzveg1QYbeddWT,Anarchist #314,Earth,Anarchy Silver,LGBT Gold Pin,None,Charcoal Trillby Hat,Sergeant,Grey,Black Peaked Collar,Black Necktie,None,Black,None,None,None,None,None,None,None,None,Ace of Diamonds,3 Striped Feathers,6.08%,25.68%,2.00%,2.24%,0.48%,15.28%,15.92%,3.20%,9.40%,30.24%,12.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.16%,1.00%,587.77,1.04%,26
1822,https://d1mx8bduarpf8s.cloudfront.net/QmeZHwcYRsEw8mXySCaff2yNPvdTz6ioni7222yS8j4gEC,Anarchist #1822,Wanted,None,Cosmos Silver Pin,Invisible,Burgundy Bowler Hat,Corporal,Charcoal,Black Grey Gradient Narrow Collar,Red Bowtie,Burgundy Singlebreasted,Purple,None,None,None,None,None,None,None,None,Ace of Spades,3 Striped Feathers,7.08%,39.60%,2.80%,21.16%,0.88%,19.56%,17.64%,3.60%,7.92%,6.24%,12.32%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.44%,1.00%,585.74,1.08%,27
2221,https://d1mx8bduarpf8s.cloudfront.net/QmQkMvspTBCDiLTfGfrxBGxdRAGov3NYVRv1FuPqs2vgki,Anarchist #2221,Mars,Anarchy Silver,Mars Protocol Silver Pin,None,Charcoal Trillby Hat,None,Grey,Black Paisley Peaked Collar,Purple Bowtie,Burgundy Singlebreasted,None,None,None,None,None,None,None,None,None,Ace of Hearts,None,5.48%,25.68%,2.52%,2.24%,0.48%,27.68%,15.92%,0.72%,9.16%,6.24%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.28%,96.32%,584.75,1.12%,28
997,https://d1mx8bduarpf8s.cloudfront.net/QmXG2Xa7x9FmLYhHxde9QSPr1kvmtTRbzySmqbqD2Gd1mw,Anarchist #997,Red Smoke,Extinction Silver,Sentinel Silver Pin,None,Grey Trillby Hat,Sergeant,Navy Blue,Burgundy Narrow Collar,Red Bowtie,Burgundy Doublebreasted,None,None,None,None,None,None,None,None,None,Ace of Diamonds,3 Brown Feathers,11.52%,24.44%,2.56%,2.24%,0.40%,15.28%,16.72%,3.72%,7.92%,6.04%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.16%,1.48%,583.90,1.16%,29
2125,https://d1mx8bduarpf8s.cloudfront.net/QmebUMnD1L6wr63BNU22DUVwx7hU5t1UBTgXkwbSVTotpV,Anarchist #2125,Red Smoke,Anarchy Silver,Cosmos Silver Pin,None,Navy Blue Trillby Hat,Sergeant,Charcoal,Blue Gradient Narrow Collar,Black Bowtie,Navy Blue Singlebreasted,Purple,None,None,None,None,None,None,None,None,Ace of Diamonds,3 Striped Feathers,11.52%,25.68%,2.80%,2.24%,0.60%,15.28%,17.64%,1.36%,7.88%,5.48%,12.32%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.16%,1.00%,583.02,1.20%,30
1260,https://d1mx8bduarpf8s.cloudfront.net/QmPTyDciteeJts1r2MfXRRKWuQ4kCihVKyFrD9eAtUHZN7,Anarchist #1260,Red Smoke,Extinction Silver,Secret Gold Pin,Invisible,Black Bowler Hat,Corporal,Burgundy,Burgundy Paisley Narrow Collar,Purple Necktie,None,Navy Blue,None,None,None,None,None,None,None,None,Ace of Hearts,Yellow Fanned Feather,11.52%,24.44%,1.56%,21.16%,1.00%,19.56%,17.88%,0.92%,8.48%,30.24%,13.08%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.28%,0.60%,580.95,1.24%,31
249,https://d1mx8bduarpf8s.cloudfront.net/QmZ3cn3VQyrkghcVhBPMgG8SnStQVDzX2YujEp2S5GSGpX,Anarchist #249,Yellow Smoke,Extinction Silver,Osmosis Silver Pin,Invisible,Navy Blue Bowler Hat,None,White,Grey Narrow Collar,Red Necktie,Burgundy Singlebreasted,Navy Blue,None,None,None,Gold,None,None,None,None,Ace of Clubs,3 Brown Feathers,11.84%,24.44%,2.56%,21.16%,1.24%,27.68%,16.68%,3.44%,7.92%,6.24%,13.08%,61.76%,61.76%,61.76%,9.24%,61.64%,61.64%,70.64%,61.64%,0.36%,1.48%,579.25,1.28%,32
1274,https://d1mx8bduarpf8s.cloudfront.net/QmSFgnYmrbn2y715pxYZh1ev9KQbDBiye3mKGpA13fHpwr,Anarchist #1274,Yellow Smoke,Extinction Silver,None,Invisible,Burgundy Bowler Hat,Sergeant,Black,Orange Grey Gradient Peaked Collar,Hong Kong Protest Necktie,None,None,None,None,None,Gold,None,None,None,None,Ace of Clubs,None,11.84%,24.44%,7.28%,21.16%,0.88%,15.28%,15.12%,1.08%,8.12%,30.24%,37.80%,61.76%,61.76%,61.76%,9.24%,61.64%,61.64%,70.64%,61.64%,0.36%,96.32%,569.43,1.32%,33
699,https://d1mx8bduarpf8s.cloudfront.net/QmQaNiHNrACrPjgYXLiyh2P9ehs7Cgp3sQsSzqUst5pBnW,Anarchist #699,Spotlight,None,Skull Astronaut Silver Pin,None,Grey Trillby Hat,Corporal,Grey,Blue Gradient Peaked Collar,None,Grey Doublebreasted,None,None,None,None,None,None,None,None,None,None,3 Striped Feathers,23.68%,39.60%,1.56%,2.24%,0.40%,19.56%,15.92%,1.88%,20.12%,6.88%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,1.00%,565.68,1.36%,34
228,https://d1mx8bduarpf8s.cloudfront.net/QmaAYwJdRY3T4jjNTapWf5RL6ZnDfvxYUmEb7rgrZpnmFW,Anarchist #228,Red Smoke,Extinction Silver,Ukrainian Flag Silver Pin,None,Burgundy Trillby Hat,None,Black,Gold Paisley Wide Collar,Navy Blue Bowtie,Navy Blue Doublebreasted,Red,None,None,None,None,None,None,None,None,Ace of Hearts,3 Brown Feathers,11.52%,24.44%,1.60%,2.24%,0.60%,27.68%,15.12%,1.52%,8.28%,5.64%,11.84%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.28%,1.48%,558.96,1.40%,35
1805,https://d1mx8bduarpf8s.cloudfront.net/QmdaFqZD12q3iQrmgdfWYGjofVaPHaRAt1fZn7GRprSrkE,Anarchist #1805,Red Smoke,Anarchy Gold,Cosmos Gold Pin,Invisible,Black Bowler Hat,Private,Grey,Black Paisley Peaked Collar,Red Bowtie,Black Singlebreasted,Red,None,None,None,None,None,None,None,None,None,Yellow Fanned Feather,11.52%,5.52%,1.72%,21.16%,1.00%,24.08%,15.92%,0.72%,7.92%,5.56%,11.84%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,0.60%,558.16,1.44%,36
350,https://d1mx8bduarpf8s.cloudfront.net/QmcuNeHg5W9441mZXAQy58e2AXS34hbSAtEapoAR1MUj7T,Anarchist #350,Red Smoke,Extinction Silver,Anchor Protocol Silver Pin,None,Burgundy Trillby Hat,None,Burgundy,Blue Gradient Narrow Collar,Hong Kong Protest Necktie,Grey Doublebreasted,None,None,None,None,Silver,None,None,None,None,None,Orange Feather,11.52%,24.44%,2.96%,2.24%,0.60%,27.68%,17.88%,1.36%,8.12%,6.88%,37.80%,61.76%,61.76%,61.76%,12.32%,61.64%,61.64%,70.64%,61.64%,96.76%,0.60%,557.05,1.48%,37
269,https://d1mx8bduarpf8s.cloudfront.net/QmNsBqcW7nyHL23sCsUwom3DAdGTtinsjNdMpUu3YWmDGj,Anarchist #269,Wanted,Anarchy Silver,ION Silver Pin,None,Charcoal Trillby Hat,None,Navy Blue,Burgundy Paisley Wide Collar,Navy Blue Necktie,Grey Singlebreasted,Navy Blue,None,None,None,None,None,None,None,None,None,None,7.08%,25.68%,2.28%,2.24%,0.48%,27.68%,16.72%,0.56%,7.92%,6.16%,13.08%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,96.32%,554.01,1.52%,38
559,https://d1mx8bduarpf8s.cloudfront.net/QmR24W97x6XyiWjJBdLgCfsodquL4yc78JA43qB6Sa7r2U,Anarchist #559,Bulletholes,None,Hero Gold,None,Burgundy Trillby Hat,Corporal,Grey,Charcoal Narrow Collar,Navy Blue Bowtie,Black Singlebreasted,Navy Blue,None,None,None,None,None,None,None,None,None,Yellow Fanned Feather,8.24%,39.60%,1.60%,2.24%,0.60%,19.56%,15.92%,2.84%,8.28%,5.56%,13.08%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,0.60%,552.90,1.56%,39
1199,https://d1mx8bduarpf8s.cloudfront.net/QmSBvfxmqtyAf1AFrQCCqibE3eAaCotva1S3D5W4A9FsXn,Anarchist #1199,Spotlight,Anarchy Gold,Hellcat Gold Pin,None,Burgundy Trillby Hat,Sergeant,Navy Blue,Black Wide Collar,Purple Necktie,Burgundy Singlebreasted,Red,None,None,None,Gold,None,None,None,None,Ace of Hearts,None,23.68%,5.52%,0.76%,2.24%,0.60%,15.28%,16.72%,2.92%,8.48%,6.24%,11.84%,61.76%,61.76%,61.76%,9.24%,61.64%,61.64%,70.64%,61.64%,1.28%,96.32%,549.39,1.60%,40
663,https://d1mx8bduarpf8s.cloudfront.net/QmdSV5sZ24bWPMNx9kTxbKAGFXJYYDM5eMAbui6y5X7KRb,Anarchist #663,Spotlight,Anarchy Silver,Secret Silver Pin,Invisible,Navy Blue Bowler Hat,None,Charcoal,Gold Paisley Peaked Collar,Navy Blue Necktie,None,Black,None,None,None,Gold,None,None,None,None,Ace of Hearts,Orange Feather,23.68%,25.68%,2.20%,21.16%,1.24%,27.68%,17.64%,0.92%,7.92%,30.24%,12.80%,61.76%,61.76%,61.76%,9.24%,61.64%,61.64%,70.64%,61.64%,1.28%,0.60%,547.42,1.64%,41
2348,https://d1mx8bduarpf8s.cloudfront.net/QmUdfGcJxQrrYFeBSk7xiQYCSANdu3mGM9VVVjwiYdFVta,Anarchist #2348,Mars,None,Luart Gold Pin,Invisible,Burgundy Bowler Hat,Private,White,Grey Narrow Collar,Black Necktie,White Singlebreasted,None,None,None,None,None,None,None,None,None,Ace of Diamonds,Yellow Fanned Feather,5.48%,39.60%,1.40%,21.16%,0.88%,24.08%,16.68%,3.44%,9.40%,5.32%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.16%,0.60%,547.15,1.68%,42
1011,https://d1mx8bduarpf8s.cloudfront.net/Qme3fNUKgq1roY8w1AWBXPZR9Dx67kDRicbTdyCqBzaQV1,Anarchist #1011,Spotlight,None,Astroport Silver Pin,None,Grey Trillby Hat,Specialist,White,Burgundy Narrow Collar,Hong Kong Protest Necktie,Charcoal Doublebreasted,None,None,None,None,Gold,None,None,None,None,None,3 Striped Feathers,23.68%,39.60%,2.52%,2.24%,0.40%,7.20%,16.68%,3.72%,8.12%,5.56%,37.80%,61.76%,61.76%,61.76%,9.24%,61.64%,61.64%,70.64%,61.64%,96.76%,1.00%,543.78,1.72%,43
