SP Number,ImageUrl,Name,Background,Skull,Eyes,Clothes,Headwear,Accessory,Background,Skull,Eyes,Clothes,Headwear,Accessory,Price,Price USD,Score,Top,Rank
2927,https://d1mx8bduarpf8s.cloudfront.net/QmP2XAoZkwXBdtcL1FSsougpY9f3iZhu4a62fXgktVLEEc,Skeleton Punk #2927,Erie,Grim Reaper,Eyepatch,Lime Tracksuit,Gray Hat,Silver Earring,5.04,0.02,5.19,5.47,3.79,13.72,  ,0,5155.056495764027,0.30%,15
913,https://d1mx8bduarpf8s.cloudfront.net/QmVRHXi8hkJKFJBaDQLc6e8HzAcH65a4CSq7KsSxztuWMW,Skeleton Punk #913,Plague Angel,Afflicted,Blindfold,Orange Astronaut,White Hair,Cigar,0.04,7.90,7.44,2.61,3.36,10.21,  ,0,2636.03920338692,0.32%,16
3227,https://d1mx8bduarpf8s.cloudfront.net/QmPaB7PvCuXpsDwTQoEsoUrY22SWtDcSU8kdqMSRi89VAb,Skeleton Punk #3227,Plague Angel,Lavender,Blue,Cyber Arm,White Hair,None,0.04,7.50,7.94,3.42,3.36,34.52,  ,0,2619.880267481167,0.34%,17
3002,https://d1mx8bduarpf8s.cloudfront.net/QmemGQYDUC693ttxgM4NbhR8scdPNKEDB47cMQxUxTDwVR,Skeleton Punk #3002,Purple Retro,Golden,Hypnotising,Golden Pads,Golden Crown,Golden Cross,0.06,1.05,2.09,1.28,1.44,7.17,  ,0,1992.5487232615126,0.36%,18
4700,https://d1mx8bduarpf8s.cloudfront.net/QmaJE4W1wuWGQDNjmPovJh9oXqZnBhFQDJPEFc5sjbrZQv,Skeleton Punk #4700,Purple Retro,Lavender,Green Laser,Green Ninja,Golden Crown,Golden Cross,0.06,7.50,1.36,1.30,1.44,7.17,  ,0,1934.7651691014116,0.38%,19
4312,https://d1mx8bduarpf8s.cloudfront.net/QmNk7RegZ3ZKWH6kVZksKca4DKLm9ffGswaDyzGAmPVZ27,Skeleton Punk #4312,Purple Graveyard,Zombie,Blue Glasses,Angel Wings,Pirate Hat,Golden Cross,4.98,5.61,3.81,0.06,2.73,7.17,699  LUNA,72280,1802.8106313766964,0.39%,20
3476,https://d1mx8bduarpf8s.cloudfront.net/Qmbo7EewE9gZdpRPwrh4Da8VRjzPgJPSCZ9k9eWjFip5Mb,Skeleton Punk #3476,Purple Retro,Grey,Green,Police Uniform,Green Hair,None,0.06,17.75,7.74,2.92,3.53,34.52,500  LUNA,51702,1771.9550370008235,0.41%,21
2379,https://d1mx8bduarpf8s.cloudfront.net/Qmb4W8U3m346bVgxPN9op2SXnELw2gW46WYwFq4Gq8zQJw,Skeleton Punk #2379,Space,Afflicted,Pyrex Vision,Warrior's Red Armor,Headband,None,1.46,7.90,1.42,0.20,4.29,34.52,  ,0,684.0591964673445,0.43%,22
2713,https://d1mx8bduarpf8s.cloudfront.net/QmQw5YjF8Gq61T86ABtqEsaHUaugYujoUQrYoMC9g7ezh6,Skeleton Punk #2713,Plaguelands,Icy,Light Blue Glasses,Warrior's Red Armor,Purple Halo,None,1.09,14.08,4.19,0.20,2.39,34.52,150  LUNA,15511,674.2101688583288,0.45%,23
845,https://d1mx8bduarpf8s.cloudfront.net/QmZHeyTS4FTwj4acjrekqCQW3scUAixDLFFuutnA1nFyDz,Skeleton Punk #845,Sand Temple,Demon,Demon,Warrior's Red Armor,Red Bandana,None,3.00,8.27,1.46,0.20,2.03,34.52,  ,0,672.296214475846,0.47%,24
3979,https://d1mx8bduarpf8s.cloudfront.net/QmT8gbv8kNyaJQSwpidecN75dofzzgxd4hAuYDoHixVTux,Skeleton Punk #3979,Retro Lightning,Icy,Blindfold X,Warrior's Red Armor,Blue Mohawk,None,1.99,14.08,1.97,0.20,3.04,34.52,  ,0,650.0611402078529,0.49%,25
4994,https://d1mx8bduarpf8s.cloudfront.net/QmQfgayTtF6rrfL6cYnecnAtXec1XmZDsknuYY4SQtwJHB,Skeleton Punk #4994,Purple Retro.jpg,Void,Dead,Warrior's Red Armor,Viking Helmet,Golden Jaw,3.67,15.38,4.25,0.20,2.43,2.35,  ,0,647.4052902282863,0.51%,26
5050,https://d1mx8bduarpf8s.cloudfront.net/QmeyY29RAk8THoNokpTGwrR9y9yZH9L9HctpqXJk8c6CHH,Skeleton Punk #5050,Terra Planet,Lavender,Golden Glasses,Warrior's Red Armor,Purple Hair,None,5.77,7.50,2.15,0.20,2.21,34.52,  ,0,631.638808025139,0.53%,27
3609,https://d1mx8bduarpf8s.cloudfront.net/QmNixbrmFGWyKd3PiHqRCLByE2SyVHMxVZwd65XsGbptTu,Skeleton Punk #3609,Night,Void,Hypnotising,Warrior's Red Armor,Leaf Wreath,Golden Cross,6.85,15.38,2.09,0.20,2.63,7.17,85  LUNA,8789,627.2934878896126,0.55%,28
3821,https://d1mx8bduarpf8s.cloudfront.net/QmUzJiNZHSTazh1ux4GhKt6cHPgxGSRsXwNsDpVgPgWi1Z,Skeleton Punk #3821,Plaguelands,Afflicted,Demon,Warrior's Armor,Emerald Crown,Rose,1.09,7.90,1.46,0.30,1.13,3.99,  ,0,624.6765718990107,0.57%,29
2958,https://d1mx8bduarpf8s.cloudfront.net/QmPMT8Jingm2dKq1iqHVaxDzfRcRLRZnz94vGzakfh7k4r,Skeleton Punk #2958,Frosty Mountains,Grey,Eyepatch,Warrior's Red Armor,Pirate Hat,None,4.30,17.75,5.19,0.20,2.73,34.52,  ,0,594.1097134681614,0.59%,30
2716,https://d1mx8bduarpf8s.cloudfront.net/QmVx38aNQ5fLBgiwxuE7Rw4oMDigYLkXYjGFjQrQPFzdGR,Skeleton Punk #2716,Ozone,Cold,Blindfold,Warrior's Red Armor,None,Golden Earring,3.44,5.00,7.44,0.20,14.91,7.39,  ,0,589.199011015331,0.61%,31
3046,https://d1mx8bduarpf8s.cloudfront.net/QmdgK9Ce6ujyAXXqL9DHH96ccLsJXEex2fXd6jEtNfdrwJ,Skeleton Punk #3046,Pink Sky,Demon,Holy,Warrior's Red Armor,None,Silver Earring,6.58,8.27,2.57,0.20,14.91,13.72,120  LUNA,12409,586.6405879189324,0.63%,32
4354,https://d1mx8bduarpf8s.cloudfront.net/QmdqNiSUQAM5eifk7qPg3DFmaSGEnv3CPkVh1LAX4wvdVY,Skeleton Punk #4354,Purple Retro.jpg,Cold,Lava Glasses,Warrior's Armor,Purple Hair,Golden Cigar,3.67,5.00,1.76,0.30,2.21,1.95,  ,0,538.106293998588,0.65%,33
3261,https://d1mx8bduarpf8s.cloudfront.net/Qma3wvr6e6Xcj28X9K6LJAsVXRrW3FXx4Gka3pYEV4XXoR,Skeleton Punk #3261,New Land,Beige,Frosty,Warrior's Armor,Golden Crown,Big Golden Earring,3.38,16.63,1.97,0.30,1.44,2.92,65  LUNA,6721,527.4543660991068,0.67%,34
3048,https://d1mx8bduarpf8s.cloudfront.net/QmPBcHTdJUtiaJQJPMygJDQaqd3jqxaPitCFR3Fq2W3gAn,Skeleton Punk #3048,Barren Night,Icy,Golden Glasses,Warrior's Armor,Blazing Skull,Golden Cross,3.36,14.08,2.15,0.30,1.17,7.17,105  LUNA,10857,520.7302568798898,0.69%,35
5009,https://d1mx8bduarpf8s.cloudfront.net/QmVkVhpsd1ufoHDTpTk1PYMTezheGjRXs8YvLLbPEvpCkJ,Skeleton Punk #5009,Lunar Landing,Zombie,Cool Glasses,Warrior's Armor,Golden Leaf Wreath,Golden Cross,3.28,5.61,2.23,0.30,1.40,7.17,  ,0,516.0255261890262,0.71%,36
4336,https://d1mx8bduarpf8s.cloudfront.net/QmaviDWUuof3mHK7KADvs1WJZZXTnGeBid5YKsVgGAuKT2,Skeleton Punk #4336,Terra Planet,Lavender,Monocle,Warrior's Armor,None,None,5.77,7.50,0.73,0.30,14.91,34.52,123  LUNA,12719,514.7379563475998,0.73%,37
4367,https://d1mx8bduarpf8s.cloudfront.net/QmTqUZKtBrYBbR9ykE1nrASpQ3hjG6CiKhhq6eRuNFqR9K,Skeleton Punk #4367,Red Retro.jpg,Beige,Dead,Warrior's Armor,Red Bandana,Golden Jaw,2.88,16.63,4.25,0.30,2.03,2.35,  ,0,493.5723420528438,0.75%,38
3050,https://d1mx8bduarpf8s.cloudfront.net/QmeYTQTWgfraV7dyqmPqcVcYfYu1pYzS78BDvbed822Y8D,Skeleton Punk #3050,Plaguelands,Beige,Green,Warrior's Armor,Green Hair,Golden Earring,1.09,16.63,7.74,0.30,3.53,7.39,1800  LUNA,186128,490.43595614630647,0.77%,39
944,https://d1mx8bduarpf8s.cloudfront.net/QmNXS7eQQNuXEHEF3J73FcmmGUsTFD9EM4XGfm9s2E4jtN,Skeleton Punk #944,Mystical Desert,Cold,Hypnotising,Warrior's Armor,Viking Helmet,None,4.17,5.00,2.09,0.30,2.43,34.52,  ,0,473.457152061282,0.79%,40
3849,https://d1mx8bduarpf8s.cloudfront.net/QmVDwmFr85iiF78W2bqADmGk2WkGxzbmMptbj4ZDh5YbEK,Skeleton Punk #3849,Sand Temple,Void,Frosty,Warrior's Armor,Blue Bandana,None,3.00,15.38,1.97,0.30,3.00,34.52,49  LUNA,5067,464.26924596751684,0.81%,41
939,https://d1mx8bduarpf8s.cloudfront.net/QmfHWEEJRhX6XehL25qC1W2hbgdbn6oJEvgtLCEzQABoVa,Skeleton Punk #939,Frozen Planet,Afflicted,Eyepatch,Warrior's Armor,Golden Bandana,Golden Cross,4.17,7.90,5.19,0.30,2.37,7.17,  ,0,449.6651660748515,0.83%,42
3055,https://d1mx8bduarpf8s.cloudfront.net/Qmb3TWyj59jY7NcVPjMnMmt79MDYVHHutaKWoJopNAdCLi,Skeleton Punk #3055,Night,Grey,Hypnotising,Warrior's Armor,Blue Mohawk,Silver Cross,6.85,17.75,2.09,0.30,3.04,9.74,  ,0,448.7550924777215,0.85%,43
3253,https://d1mx8bduarpf8s.cloudfront.net/QmcEotQHwPC74RvDjfvJnzAvsVMZtFxv6MM9JtxwMUwTaj,Skeleton Punk #3253,Purple Retro.jpg,Void,Black,Warrior's Armor,Headband,Golden Jaw,3.67,15.38,9.46,0.30,4.29,2.35,  ,0,447.7895007310221,0.87%,44
4350,https://d1mx8bduarpf8s.cloudfront.net/QmYBxDai68gCChWe5J4PqLH1rAebjL12nHJsoiTafjHm9L,Skeleton Punk #4350,Luart,Icy,Purple VR,Warrior's Armor,Purple Halo,None,3.28,14.08,3.73,0.30,2.39,34.52,54.69  LUNA,5655,446.7503240228076,0.89%,45
4480,https://d1mx8bduarpf8s.cloudfront.net/QmUVjDDip8YuWUKyi8XYoT4tDb84VQuWXmmv2BGooJ2gCg,Skeleton Punk #4480,Mystical Desert,Golden,Demon,Golden Pads,Pharaoh Crown,None,4.17,1.05,1.46,1.28,0.65,34.52,75  LUNA,7755,422.23886517761565,0.91%,46
3057,https://d1mx8bduarpf8s.cloudfront.net/QmTkGuvNpgaS1eX8BdbYvpnfs3HmBLgqh4riNKmMQiLz9A,Skeleton Punk #3057,Brick Wall,Demon,Blindfold,Warrior's Armor,Purple Mohawk,None,4.88,8.27,7.44,0.30,3.10,34.52,  ,0,418.7721061303072,0.93%,47
5033,https://d1mx8bduarpf8s.cloudfront.net/QmRtFew1DGAWgujE9kQAcfniqnVMUJ5xzMbtBSdHYTiMwE,Skeleton Punk #5033,Night Blue Planet,Kintsugi,Frosty,Iced Out Platinum Chain,None,Silver Cross,1.28,0.63,1.97,1.13,14.91,9.74,  ,0,392.6188876128958,0.95%,48
1903,https://d1mx8bduarpf8s.cloudfront.net/QmfCHUkjqUgodzGFutEGxXR37PwY64Kb4g5Uwqn1A6EMGB,Skeleton Punk #1903,Frosty Mountains,Kintsugi,Demon,King's Red Robe,White Hair,Golden Earring,4.30,0.63,1.46,1.18,3.36,7.39,  ,0,377.64013247658687,0.97%,49
1534,https://d1mx8bduarpf8s.cloudfront.net/QmXZcKCaZxMY1tMxUZibaaAQ9Uow7kbhkkWFKUb2rvXQfh,Skeleton Punk #1534,Wild West,Kintsugi,Cool Glasses,Outlaw,Golden Crown,Cigar,5.81,0.63,2.23,1.30,1.44,10.21,  ,0,376.1807558153855,0.99%,50
3555,https://d1mx8bduarpf8s.cloudfront.net/QmdQWDdQy5FTDXSJqJ2SVTauHKpipkmjxL6tVHXQvK62WD,Skeleton Punk #3555,Purple Graveyard,Kintsugi,Robot,Vampire Suit,None,Golden Jaw,4.98,0.63,2.13,0.99,14.91,2.35,  ,0,375.7760336010784,1.01%,51
523,https://d1mx8bduarpf8s.cloudfront.net/QmVN1ESDPB6ShChcvyUd2sLxNKzUGvj8EBUEQhiWxfK1iw,Skeleton Punk #523,Night Blue Planet,Kintsugi,Holy,Iced Out Gold Chain,None,Golden Jaw,1.28,0.63,2.57,1.99,14.91,2.35,  ,0,374.512058939876,1.03%,52
3524,https://d1mx8bduarpf8s.cloudfront.net/Qmea2hqZ6XgonaExFdcox6MTbxdGQe1iPgXcrRQSN2vg6h,Skeleton Punk #3524,Terra Planet,Kintsugi,Holy,Prophet's Robe,Golden Crown,Golden Jaw,5.77,0.63,2.57,2.09,1.44,2.35,250  LUNA,25851,374.2443816753693,1.05%,53
3715,https://d1mx8bduarpf8s.cloudfront.net/Qmd5hBuA437psmXPikEjo3uNt5hMapJzEGtQ4fXmZUgyQY,Skeleton Punk #3715,Space,Kintsugi,Cool Glasses,Hero,None,Golden Cigar,1.46,0.63,2.23,2.23,14.91,1.95,  ,0,374.16955093623034,1.07%,54
3181,https://d1mx8bduarpf8s.cloudfront.net/QmUA6Z9EoicB2KYsdoGiMf9mFXgEjjboTd9evjLKKDU4sE,Skeleton Punk #3181,Red Retro.jpg,Kintsugi,Demon,Ninja Suit,Red Bandana,Golden Earring,2.88,0.63,1.46,2.03,2.03,7.39,  ,0,373.237567978532,1.09%,55
1233,https://d1mx8bduarpf8s.cloudfront.net/QmZCMzQev1ftaDKgrvEpfXjwpN11SpN2W6rT28u5yWgwJP,Skeleton Punk #1233,Red Retro.jpg,Kintsugi,Demon,Green Ninja,Black Pompadour,None,2.88,0.63,1.46,1.30,3.65,34.52,  ,0,368.3646348111522,1.11%,56
1333,https://d1mx8bduarpf8s.cloudfront.net/QmYdfRip7QfyNoLai521uT4tfLEetM2a7DR4LT8k4nYhnL,Skeleton Punk #1333,Red Planet,Demon,Demon,Vampire Suit,Emerald Crown,Rose,1.44,8.27,1.46,0.99,1.13,3.99,100  LUNA,10340,365.0796264943973,1.13%,57
3325,https://d1mx8bduarpf8s.cloudfront.net/QmR3YFyhQXCvqLu5P4tMbNLZMA1NgLzrvNCTg8vgJz2H3v,Skeleton Punk #3325,Retro Lightning,Grey,Monocle,Wizard's Robe,Emerald Crown,Big Golden Earring,1.99,17.75,0.73,2.13,1.13,2.92,50  LUNA,5170,362.58361456726146,1.15%,58
3093,https://d1mx8bduarpf8s.cloudfront.net/QmdLG1VAXWb3XVWbLNaXTcE6iPHLbagnt7D4ZWcp9F89bH,Skeleton Punk #3093,New Land,Kintsugi,Purple,Golden Pads,Red Pompadour,Golden Jaw,3.38,0.63,6.18,1.28,2.74,2.35,  ,0,360.9369176584292,1.17%,59
1390,https://d1mx8bduarpf8s.cloudfront.net/Qmf69feexNQJ6RzC4fX1Szi1uMKYLb1fScSdLoSH57ahco,Skeleton Punk #1390,Pyramid,Kintsugi,Cool Glasses,Molten,Police Hat,Rose,2.73,0.63,2.23,1.66,3.02,3.99,35  LUNA,3619,358.21287189804207,1.18%,60
398,https://d1mx8bduarpf8s.cloudfront.net/QmfSCXGPqREUb99NSPsfcHPQn5rambbAXMYu2Zy8hLyrH7,Skeleton Punk #398,Pink Sky,Kintsugi,Holy,Prophet's Robe,Golden Crown,Rose,6.58,0.63,2.57,2.09,1.44,3.99,100.69  LUNA,10412,354.6238082111054,1.20%,61
2993,https://d1mx8bduarpf8s.cloudfront.net/QmNc4B6wuq4se6QGauoYjzmG2gRta2BirKTFYjzvMwqixn,Skeleton Punk #2993,Pink Sky,Kintsugi,Black,Golden Suit,Golden Halo,Golden Cross,6.58,0.63,9.46,1.62,1.07,7.17,  ,0,353.5135208212932,1.22%,62
3313,https://d1mx8bduarpf8s.cloudfront.net/QmcEJqu1XCUkJaJdLPd8d2k4Mc6DVV6h71d5m2w2HYENc2,Skeleton Punk #3313,New Land,Kintsugi,Green,Green Ninja,Green Hair,Golden Jaw,3.38,0.63,7.74,1.30,3.53,2.35,  ,0,348.35479980396633,1.24%,63
2629,https://d1mx8bduarpf8s.cloudfront.net/QmREDA9upBbuJ6tHZqpSWHKStNoxxm7D961qwbs8U3dy2H,Skeleton Punk #2629,Terra Planet,Kintsugi,Holy,Hero,Blazing Skull,None,5.77,0.63,2.57,2.23,1.17,34.52,  ,0,348.08800484550716,1.26%,64
2184,https://d1mx8bduarpf8s.cloudfront.net/QmQf6JX6kZCRCytWMBHq3kqmNpNfih7XaNaftibXsedoWp,Skeleton Punk #2184,Luart,Kintsugi,Pyrex Vision,King's Purple Robe,Purple Halo,None,3.28,0.63,1.42,2.27,2.39,34.52,  ,0,347.8724048794607,1.28%,65
2696,https://d1mx8bduarpf8s.cloudfront.net/QmQav7UaGV28j5CEUqz7jmmZbKSsDVLER6w2qb6cGD9PcM,Skeleton Punk #2696,Frosty Mountains,Golden,Red Laser,Spock,Blue Mohawk,Silver Cross,4.30,1.05,0.99,1.30,3.04,9.74,  ,0,339.9387224937092,1.30%,66
3020,https://d1mx8bduarpf8s.cloudfront.net/QmZ8kydGsBuLEBgwYUbcsW51MgTyoAk3rq2bUkBhkohRrJ,Skeleton Punk #3020,Space,Kintsugi,Blue,Iced Out Gold Chain,Arrow,Silver Cross,1.46,0.63,7.94,1.99,2.59,9.74,  ,0,338.34635504264367,1.32%,67
2229,https://d1mx8bduarpf8s.cloudfront.net/QmSvKP3RVoiWKck2Vt3pJwRM8q6Hu1K38bd1iWA8Rj2RLP,Skeleton Punk #2229,Night Blue Planet,Cold,Cool Glasses,White Astronaut,Golden Halo,Silver Cross,1.28,5.00,2.23,1.11,1.07,9.74,49  LUNA,5067,337.2158163565904,1.34%,68
568,https://d1mx8bduarpf8s.cloudfront.net/Qmb9ZggEDw9TRywP1F1ximP6Y4r1JrkLxv6SyKj1sxEocA,Skeleton Punk #568,Sunrise,Kintsugi,Holy,Skelly Tee,Emerald Crown,Cigar,3.65,0.63,2.57,7.78,1.13,10.21,  ,0,336.0666872546099,1.36%,69
4406,https://d1mx8bduarpf8s.cloudfront.net/QmVBM1NJ9wL7TfGRopNLjn89UEvrTQJKwzXknfqBDqeSpE,Skeleton Punk #4406,Pyramid,Kintsugi,Stoned,Jetpack Suit,Purple Hair,None,2.73,0.63,3.04,1.80,2.21,34.52,65  LUNA,6721,331.588431591292,1.38%,70
2331,https://d1mx8bduarpf8s.cloudfront.net/QmPAqCyuuDvk48UnzK76FrweorWsjFPsJyd47C2jm8bSHM,Skeleton Punk #2331,Sand Temple,Afflicted,Demon,King's Red Robe,Emerald Crown,Golden Jaw,3.00,7.90,1.46,1.18,1.13,2.35,  ,0,330.204949018014,1.40%,71
2786,https://d1mx8bduarpf8s.cloudfront.net/QmQCCK83qLbdFT8W7QDsSdLbDYtx71mAMQtznCJmuaiqnm,Skeleton Punk #2786,New Land,Kintsugi,Pyrex Vision,Lime Tracksuit,Blue Mohawk,Golden Earring,3.38,0.63,1.42,5.47,3.04,7.39,  ,0,322.90218070369457,1.42%,72
4097,https://d1mx8bduarpf8s.cloudfront.net/Qmf71s3xxEwr8ihTsyTaQDNTRVVY4ZXnthLHi5fuQ1KDEQ,Skeleton Punk #4097,Retro Lightning,Icy,Dead,Golden Pads,Pharaoh Crown,Cigar,1.99,14.08,4.25,1.28,0.65,10.21,44.4  LUNA,4591,321.9516952739023,1.44%,73
4119,https://d1mx8bduarpf8s.cloudfront.net/QmXE15z1nhviM9TWgpNBZTFXFnbbnmkGNrdt7Wy6Fc93ZL,Skeleton Punk #4119,Night Blue Planet,Void,Robot,Golden Pads,Golden Crown,Golden Jaw,1.28,15.38,2.13,1.28,1.44,2.35,  ,0,321.12940021523536,1.46%,74
3776,https://d1mx8bduarpf8s.cloudfront.net/QmNQJU6AVcndbVparesqw9VCtifQtXVTLsjVPnzgf3Nc6c,Skeleton Punk #3776,New Land,Kintsugi,Stoned,Iced Out Gold Chain,Blue Bandana,Golden Earring,3.38,0.63,3.04,1.99,3.00,7.39,  ,0,317.7416622577782,1.48%,75
1661,https://d1mx8bduarpf8s.cloudfront.net/QmeMA4NQ6NhyNJmiJK9UH3NU8X2ERf5qgRpJzPN1kC8zkP,Skeleton Punk #1661,Brick Wall,Zombie,Monocle,White Astronaut,Golden Bandana,Cigar,4.88,5.61,0.73,1.11,2.37,10.21,  ,0,317.62141748688754,1.50%,76
3768,https://d1mx8bduarpf8s.cloudfront.net/QmRNzLfWCQK86BFPiSuuHygDnKaqp4sBmMhFQ9BUNCDa1D,Skeleton Punk #3768,Red Retro.jpg,Icy,Purple,Knight,Pharaoh Crown,Golden Cigar,2.88,14.08,6.18,1.90,0.65,1.95,25  LUNA,2585,315.3222901426542,1.52%,77
668,https://d1mx8bduarpf8s.cloudfront.net/QmaFuHHFJSTxDXCzsxebM8rwTPYHcT5D74m6XrxNvyDZN3,Skeleton Punk #668,New Land,Cold,Red Laser,King's Red Robe,Golden Crown,Silver Cross,3.38,5.00,0.99,1.18,1.44,9.74,  ,0,314.9515136519314,1.54%,78
3889,https://d1mx8bduarpf8s.cloudfront.net/QmS1LbUK6rBqYL7Fenwr8rchJmRuPKJEGZt3y1ythKMMeF,Skeleton Punk #3889,Retro Lightning,Golden,Blue Glasses,White Astronaut,Blue Headphones,None,1.99,1.05,3.81,1.11,2.01,34.52,  ,0,314.8967810653443,1.56%,79
1766,https://d1mx8bduarpf8s.cloudfront.net/QmVQsVRjeqojshf9gyBp2wvcjC9nM1LZ5a8CDU7bqg8LWy,Skeleton Punk #1766,Plaguelands,Afflicted,Black,Green Ninja,Golden Leaf Wreath,Golden Cigar,1.09,7.90,9.46,1.30,1.40,1.95,88.88  LUNA,9191,314.50748386567903,1.58%,80
3277,https://d1mx8bduarpf8s.cloudfront.net/QmaWLnKK7xogXfq8gYR27WWtS8SMigxwCLPyPoDzSii9A5,Skeleton Punk #3277,Gray Graveyard,Lavender,Monocle,Black Suit,Golden Crown,Golden Cigar,7.25,7.50,0.73,3.36,1.44,1.95,  ,0,314.29915923628573,1.60%,81
4143,https://d1mx8bduarpf8s.cloudfront.net/QmZ9kd6zsYnpE6dsZsRy7WJBYCetjftsvTtjna98EaEMfh,Skeleton Punk #4143,Plaguelands,Demon,Dead,Vampire Suit,Golden Crown,Golden Earring,1.09,8.27,4.25,0.99,1.44,7.39,  ,0,311.9021044648059,1.62%,82
